,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.0,0.0,0.0,0.0,0.091,0.004,0.011,0.028,0.01,0.028
1911-1920,0.0,0.0,0.016,0.095,0.012,0.283,0.109,0.154,0.205,0.023,0.024
1921-1930,0.0,0.016,0.0,0.075,0.0,0.092,0.034,0.202,0.053,0.001,0.032
1931-1940,0.0,0.095,0.075,0.0,0.344,0.236,0.188,0.164,0.406,0.002,0.019
1941-1950,0.0,0.012,0.0,0.344,0.0,0.058,0.042,0.037,0.613,0.0,0.002
1951-1960,0.091,0.283,0.092,0.236,0.058,0.0,0.2,0.371,0.405,0.675,0.693
1961-1970,0.004,0.109,0.034,0.188,0.042,0.2,0.0,0.572,0.478,0.069,0.017
1971-1980,0.011,0.154,0.202,0.164,0.037,0.371,0.572,0.0,0.385,0.073,0.166
1981-1990,0.028,0.205,0.053,0.406,0.613,0.405,0.478,0.385,0.0,0.207,0.093
2001-2010,0.01,0.023,0.001,0.002,0.0,0.675,0.069,0.073,0.207,0.0,0.363
2011-2018,0.028,0.024,0.032,0.019,0.002,0.693,0.017,0.166,0.093,0.363,0.0
