event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,6.5142103870953445,0.0,4,"1911-1920,1921-1930,1931-1940,1941-1950",consecutive
1,1911-1920,1921-1930,5.503900401671212,0.016,1,1921-1930,consecutive
2,1921-1930,1941-1950,5.6982877380629615,0.0,2,"1931-1940,1941-1950",sudden_shift
3,1921-1930,1961-1970,8.187440816773723,0.034,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
4,1921-1930,2001-2010,7.15473177486121,0.001,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",sudden_shift
5,1921-1930,2011-2018,6.355739232968001,0.032,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
6,1931-1940,2001-2010,6.464680129776729,0.002,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",sudden_shift
7,1931-1940,2011-2018,6.338700465555356,0.019,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
8,1941-1950,1961-1970,7.929500634807864,0.042,2,"1951-1960,1961-1970",sudden_shift
9,1941-1950,1971-1980,7.889256109650117,0.037,3,"1951-1960,1961-1970,1971-1980",sudden_shift
10,1941-1950,2001-2010,7.220347582047825,0.0,5,"1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",sudden_shift
11,1941-1950,2011-2018,7.295920475280667,0.002,6,"1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
12,1961-1970,2011-2018,10.261897827037473,0.017,4,"1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
