timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,6.5142103870953445,0.0
1901-1910,1921-1930,2,5.336971347649461,0.0
1901-1910,1931-1940,3,6.103450209787586,0.0
1901-1910,1941-1950,4,7.376160396239142,0.0
1921-1930,1941-1950,2,5.6982877380629615,0.0
1941-1950,2001-2010,5,7.220347582047825,0.0
1921-1930,2001-2010,7,7.15473177486121,0.001
1931-1940,2001-2010,6,6.464680129776729,0.002
1941-1950,2011-2018,6,7.295920475280667,0.002
1901-1910,1961-1970,6,9.33574166617958,0.004
1901-1910,2001-2010,9,5.814295021166989,0.01
1901-1910,1971-1980,7,8.94452858515678,0.011
1911-1920,1941-1950,3,5.413367101177856,0.012
1911-1920,1921-1930,1,5.503900401671212,0.016
1961-1970,2011-2018,4,10.261897827037473,0.017
1931-1940,2011-2018,7,6.338700465555356,0.019
1911-1920,2001-2010,8,6.520012754084701,0.023
1911-1920,2011-2018,9,6.9010325006294,0.024
1901-1910,1981-1990,8,9.280893962874858,0.028
1901-1910,2011-2018,10,6.215004659683899,0.028
1921-1930,2011-2018,8,6.355739232968001,0.032
1921-1930,1961-1970,4,8.187440816773723,0.034
1941-1950,1971-1980,3,7.889256109650117,0.037
1941-1950,1961-1970,2,7.929500634807864,0.042
