event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,5.407226553554609,0.001,1,1911-1920,consecutive
1,1941-1950,1951-1960,5.944882630335009,0.009,1,1951-1960,consecutive
2,1951-1960,1961-1970,7.125431076374998,0.005,3,"1961-1970,1971-1980,1981-1990",consecutive
3,1961-1970,1971-1980,7.864799667788785,0.041,1,1971-1980,consecutive
4,1911-1920,1941-1950,4.701619876916699,0.007,3,"1921-1930,1931-1940,1941-1950",sudden_shift
5,1971-1980,1991-2000,8.372247184742708,0.03,2,"1981-1990,1991-2000",sudden_shift
6,1971-1980,2001-2010,7.908485058289023,0.006,3,"1981-1990,1991-2000,2001-2010",sudden_shift
7,1971-1980,2011-2018,8.14686627100485,0.003,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
8,1981-1990,2011-2018,8.242686156129693,0.027,3,"1991-2000,2001-2010,2011-2018",sudden_shift
9,1991-2000,2011-2018,6.48755091001126,0.04,2,"2001-2010,2011-2018",sudden_shift
