synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s46736,blatt,1901-1910,1911-1920,0.011733685195150787,0.1435841708953027
s46736,blatt,1911-1920,1921-1930,0.004497722520825715,0.38986205310437244
s46736,blatt,1921-1930,1931-1940,0.01432421704898062,0.17685585512801533
s46736,blatt,1931-1940,1941-1950,0.0355067427935136,0.3802686155415406
s46736,blatt,1941-1950,1951-1960,0.027495133443427442,0.5699991948064919
s46736,blatt,1951-1960,1961-1970,0.027576628721571066,0.17229096276082093
s46736,blatt,1961-1970,1971-1980,0.038787549055216565,0.6634970424652523
s46736,blatt,1971-1980,1981-1990,0.033973021659574096,0.14655945844849305
s46736,blatt,1981-1990,1991-2000,0.05809184177606674,0.1250287383412941
s46736,blatt,1991-2000,2001-2010,0.020551462755781645,0.13184993879021287
