event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1941-1950,5.51357264506246,0.046,4,"1911-1920,1921-1930,1931-1940,1941-1950",sudden_shift
1,1901-1910,1951-1960,6.407665589902131,0.008,5,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
2,1901-1910,1961-1970,5.304750860763281,0.031,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
3,1901-1910,1971-1980,5.4286824610164475,0.026,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
4,1901-1910,1981-1990,5.543613266041607,0.002,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
5,1901-1910,1991-2000,6.151465771749108,0.001,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
6,1901-1910,2001-2010,5.954208219584059,0.003,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1901-1910,2011-2018,5.743258990942773,0.002,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
8,1911-1920,1951-1960,5.903460967747152,0.026,4,"1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
9,1911-1920,1981-1990,5.187994886896223,0.015,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
10,1911-1920,1991-2000,5.46108791022976,0.01,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
11,1911-1920,2001-2010,5.423132594877131,0.015,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
12,1911-1920,2011-2018,5.489360165246196,0.031,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
13,1931-1940,2001-2010,4.107659660376588,0.011,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
14,1951-1960,2001-2010,2.8112826597461655,0.024,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
15,1961-1970,2001-2010,2.4003017446493935,0.04,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
16,1971-1980,2001-2010,2.5686246262657457,0.017,3,"1981-1990,1991-2000,2001-2010",sudden_shift
