event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1981-1990,2001-2010,6.2406579589029745,0.001,1,2001-2010,consecutive
1,2001-2010,2011-2018,5.498487950972354,0.007,1,2011-2018,consecutive
2,1911-1920,1951-1960,5.595464810417797,0.02,4,"1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
3,1911-1920,1961-1970,5.451962712011854,0.0,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
4,1911-1920,1971-1980,6.628059019070693,0.001,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
5,1911-1920,1981-1990,5.136106624899195,0.01,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
6,1921-1930,1951-1960,6.172455533847129,0.007,3,"1931-1940,1941-1950,1951-1960",sudden_shift
7,1921-1930,1961-1970,5.893152330997083,0.0,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
8,1921-1930,1971-1980,7.148708083296386,0.0,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
9,1921-1930,1981-1990,5.3999836755326704,0.002,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
10,1931-1940,1961-1970,5.294538683993851,0.02,3,"1941-1950,1951-1960,1961-1970",sudden_shift
11,1931-1940,1971-1980,5.833105353020516,0.029,4,"1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
12,1941-1950,1961-1970,5.931852824825461,0.013,2,"1951-1960,1961-1970",sudden_shift
13,1941-1950,1971-1980,6.660553510606175,0.002,3,"1951-1960,1961-1970,1971-1980",sudden_shift
