,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,3.292026794155618,3.2345146247493606,3.3997171295129403,5.595464810417797,5.451962712011854,6.628059019070693,5.136106624899195,4.634171273195919,4.493816145763306
1921-1930,3.292026794155618,0.0,3.649417045761383,3.898938228373286,6.172455533847129,5.893152330997083,7.148708083296386,5.3999836755326704,4.253863187787571,4.717923949100657
1931-1940,3.2345146247493606,3.649417045761383,0.0,3.197217618981313,4.762708074615012,5.294538683993851,5.833105353020516,4.429574128445432,4.69825570220872,3.672332783367706
1941-1950,3.3997171295129403,3.898938228373286,3.197217618981313,0.0,4.929001811018534,5.931852824825461,6.660553510606175,5.038172866835511,5.4187401647643645,4.291414499782388
1951-1960,5.595464810417797,6.172455533847129,4.762708074615012,4.929001811018534,0.0,5.78233267221737,5.139807094537606,4.816174241131424,7.63999451576754,4.843472353151962
1961-1970,5.451962712011854,5.893152330997083,5.294538683993851,5.931852824825461,5.78233267221737,0.0,5.673110350634935,5.182183258099874,6.581807142180158,5.390805834530324
1971-1980,6.628059019070693,7.148708083296386,5.833105353020516,6.660553510606175,5.139807094537606,5.673110350634935,0.0,4.712010360077349,7.925674144918036,6.143613459895303
1981-1990,5.136106624899195,5.3999836755326704,4.429574128445432,5.038172866835511,4.816174241131424,5.182183258099874,4.712010360077349,0.0,6.2406579589029745,4.690287371725621
2001-2010,4.634171273195919,4.253863187787571,4.69825570220872,5.4187401647643645,7.63999451576754,6.581807142180158,7.925674144918036,6.2406579589029745,0.0,5.498487950972354
2011-2018,4.493816145763306,4.717923949100657,3.672332783367706,4.291414499782388,4.843472353151962,5.390805834530324,6.143613459895303,4.690287371725621,5.498487950972354,0.0
