,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,0.64,0.585,0.214,0.02,0.0,0.001,0.01,0.002,0.123
1921-1930,0.64,0.0,0.248,0.088,0.007,0.0,0.0,0.002,0.023,0.063
1931-1940,0.585,0.248,0.0,0.33,0.148,0.02,0.029,0.161,0.033,0.524
1941-1950,0.214,0.088,0.33,0.0,0.094,0.013,0.002,0.05,0.007,0.149
1951-1960,0.02,0.007,0.148,0.094,0.0,0.061,0.391,0.356,0.0,0.303
1961-1970,0.0,0.0,0.02,0.013,0.061,0.0,0.08,0.086,0.0,0.042
1971-1980,0.001,0.0,0.029,0.002,0.391,0.08,0.0,0.69,0.0,0.067
1981-1990,0.01,0.002,0.161,0.05,0.356,0.086,0.69,0.0,0.001,0.265
2001-2010,0.002,0.023,0.033,0.007,0.0,0.0,0.0,0.001,0.0,0.007
2011-2018,0.123,0.063,0.524,0.149,0.303,0.042,0.067,0.265,0.007,0.0
