timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1961-1970,5,5.451962712011854,0.0
1921-1930,1971-1980,5,7.148708083296386,0.0
1921-1930,1961-1970,4,5.893152330997083,0.0
1951-1960,2001-2010,4,7.63999451576754,0.0
1961-1970,2001-2010,3,6.581807142180158,0.0
1971-1980,2001-2010,2,7.925674144918036,0.0
1981-1990,2001-2010,1,6.2406579589029745,0.001
1911-1920,1971-1980,6,6.628059019070693,0.001
1911-1920,2001-2010,8,4.634171273195919,0.002
1921-1930,1981-1990,6,5.3999836755326704,0.002
1941-1950,1971-1980,3,6.660553510606175,0.002
2001-2010,2011-2018,1,5.498487950972354,0.007
1941-1950,2001-2010,5,5.4187401647643645,0.007
1921-1930,1951-1960,3,6.172455533847129,0.007
1911-1920,1981-1990,7,5.136106624899195,0.01
1941-1950,1961-1970,2,5.931852824825461,0.013
1911-1920,1951-1960,4,5.595464810417797,0.02
1931-1940,1961-1970,3,5.294538683993851,0.02
1921-1930,2001-2010,7,4.253863187787571,0.023
1931-1940,1971-1980,4,5.833105353020516,0.029
1931-1940,2001-2010,6,4.69825570220872,0.033
1961-1970,2011-2018,4,5.390805834530324,0.042
