event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1971-1980,1981-1990,7.677356078259667,0.023,2,"1981-1990,1991-2000",consecutive
1,1981-1990,1991-2000,7.135886676689919,0.036,1,1991-2000,consecutive
2,1901-1910,1921-1930,10.147658396077395,0.046,2,"1911-1920,1921-1930",sudden_shift
3,1901-1910,1941-1950,9.739233333488974,0.015,4,"1911-1920,1921-1930,1931-1940,1941-1950",sudden_shift
4,1901-1910,1971-1980,9.329104100311618,0.031,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
5,1911-1920,1941-1950,7.996811909448842,0.044,3,"1921-1930,1931-1940,1941-1950",sudden_shift
6,1911-1920,1971-1980,7.7918181795420995,0.033,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
7,1921-1930,1941-1950,8.183626859303226,0.015,2,"1931-1940,1941-1950",sudden_shift
8,1921-1930,1951-1960,9.215655222411176,0.026,3,"1931-1940,1941-1950,1951-1960",sudden_shift
9,1921-1930,1961-1970,8.318890531077688,0.026,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
10,1921-1930,1971-1980,8.196789352089557,0.007,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
11,1951-1960,1971-1980,7.753699610816601,0.044,2,"1961-1970,1971-1980",sudden_shift
12,1991-2000,2011-2018,6.694110770095858,0.033,2,"2001-2010,2011-2018",sudden_shift
