timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,2011-2018,11,6.329332001581449,0.0
1901-1910,2001-2010,10,5.8161344064494305,0.005
1931-1940,2011-2018,8,5.597914512928587,0.005
1901-1910,1991-2000,9,6.093226765789241,0.006
1931-1940,2001-2010,7,5.423432484287335,0.008
1911-1920,2001-2010,9,5.863473562274404,0.013
1911-1920,2011-2018,10,6.359023810900748,0.015
1901-1910,1981-1990,8,6.580202719086882,0.024
1971-1980,1991-2000,2,5.488159141257228,0.024
1961-1970,2001-2010,4,4.816744473534248,0.024
1911-1920,1991-2000,8,5.994812897183231,0.029
1971-1980,2001-2010,3,4.729703206095761,0.035
1961-1970,2011-2018,5,4.695059836545746,0.037
