,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960,2011-2018
1901-1910,0.0,0.634,1.0,0.667,1.0,0.322
1911-1920,0.634,0.0,1.0,0.657,0.32,0.346
1921-1930,1.0,1.0,0.0,0.666,1.0,0.661
1931-1940,0.667,0.657,0.666,0.0,0.315,0.326
1951-1960,1.0,0.32,1.0,0.315,0.0,0.316
2011-2018,0.322,0.346,0.661,0.326,0.316,0.0
