,1911-1920,1921-1930,1931-1940,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.787,0.026,0.12,0.236,0.238,0.002,0.0
1921-1930,0.787,0.0,1.0,1.0,1.0,1.0,0.189,0.13
1931-1940,0.026,1.0,0.0,1.0,1.0,1.0,0.059,0.439
1961-1970,0.12,1.0,1.0,0.0,1.0,1.0,0.196,0.115
1971-1980,0.236,1.0,1.0,1.0,0.0,1.0,0.614,0.443
1991-2000,0.238,1.0,1.0,1.0,1.0,0.0,0.599,0.569
2001-2010,0.002,0.189,0.059,0.196,0.614,0.599,0.0,0.329
2011-2018,0.0,0.13,0.439,0.115,0.443,0.569,0.329,0.0
