,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960
1901-1910,0.0,0.339,0.294,0.328,0.308
1911-1920,0.339,0.0,0.248,1.0,0.324
1921-1930,0.294,0.248,0.0,0.096,0.404
1931-1940,0.328,1.0,0.096,0.0,1.0
1951-1960,0.308,0.324,0.404,1.0,0.0
