event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,9.853692183639465,0.048,4,"1911-1920,1921-1930,1931-1940,1941-1950",consecutive
1,1971-1980,1981-1990,6.379280651419159,0.0,1,1981-1990,consecutive
2,1911-1920,1971-1980,8.119395921388081,0.03,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1921-1930,1961-1970,6.997492304457082,0.007,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
4,1921-1930,1971-1980,7.342047665771068,0.002,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
5,1931-1940,1961-1970,5.416624818048843,0.043,3,"1941-1950,1951-1960,1961-1970",sudden_shift
6,1941-1950,1961-1970,5.507606160242103,0.007,2,"1951-1960,1961-1970",sudden_shift
7,1941-1950,1971-1980,6.1287956243946855,0.0,3,"1951-1960,1961-1970,1971-1980",sudden_shift
8,1981-1990,2011-2018,7.373379092384568,0.008,3,"1991-2000,2001-2010,2011-2018",sudden_shift
