,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.798,0.051,0.016,0.12,0.043,0.036,0.393,0.569
1921-1930,0.798,0.0,0.225,0.018,0.058,0.161,0.594,0.602,0.642
1931-1940,0.051,0.225,0.0,0.435,0.176,0.113,0.381,0.236,0.658
1941-1950,0.016,0.018,0.435,0.0,0.13,0.032,0.208,0.055,0.388
1961-1970,0.12,0.058,0.176,0.13,0.0,0.248,0.195,0.194,0.265
1981-1990,0.043,0.161,0.113,0.032,0.248,0.0,0.187,0.331,0.306
1991-2000,0.036,0.594,0.381,0.208,0.195,0.187,0.0,0.149,0.462
2001-2010,0.393,0.602,0.236,0.055,0.194,0.331,0.149,0.0,0.266
2011-2018,0.569,0.642,0.658,0.388,0.265,0.306,0.462,0.266,0.0
