event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,6.0649750801352775,0.0,1,1911-1920,consecutive
1,1911-1920,1921-1930,6.046765805103384,0.0,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
2,1921-1930,1931-1940,4.9277508232427625,0.015,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
3,1931-1940,1941-1950,5.246157901923645,0.0,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
4,1941-1950,1951-1960,3.859925184248695,0.048,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
5,1951-1960,1961-1970,3.9082368946863753,0.04,1,1961-1970,consecutive
6,1961-1970,1971-1980,3.9059914501889756,0.021,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
7,1971-1980,1981-1990,4.673686705383076,0.0,1,1981-1990,consecutive
8,1981-1990,1991-2000,5.197851344842994,0.0,3,"1991-2000,2001-2010,2011-2018",consecutive
9,1991-2000,2011-2018,4.0677625454745145,0.01,2,"2001-2010,2011-2018",sudden_shift
