timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,6.0649750801352775,0.0
1901-1910,1981-1990,8,5.593993583167104,0.0
1911-1920,1921-1930,1,6.046765805103384,0.0
1911-1920,1971-1980,6,6.369838415573318,0.0
1911-1920,1961-1970,5,7.3687210919454165,0.0
1911-1920,1951-1960,4,6.511499679249222,0.0
1911-1920,1941-1950,3,6.60136331722029,0.0
1911-1920,1931-1940,2,5.831107506601537,0.0
1911-1920,1991-2000,8,6.128543994002292,0.0
1911-1920,1981-1990,7,6.78614003095206,0.0
1911-1920,2001-2010,9,6.736159367290425,0.0
1921-1930,1981-1990,6,6.03919151338526,0.0
1921-1930,1961-1970,4,5.421065234553909,0.0
1921-1930,1971-1980,5,5.062389087838382,0.0
1921-1930,1941-1950,2,5.190587130696188,0.0
1911-1920,2011-2018,10,6.800890305986042,0.0
1931-1940,1961-1970,3,5.622656770945022,0.0
1931-1940,1971-1980,4,4.86900990992854,0.0
1931-1940,1941-1950,1,5.246157901923645,0.0
1931-1940,1951-1960,2,4.941474418259977,0.0
1931-1940,1981-1990,5,5.655483281978377,0.0
1921-1930,1991-2000,7,5.127239943858449,0.0
1921-1930,2011-2018,9,5.365968221464634,0.0
1921-1930,2001-2010,8,5.209086638494223,0.0
1931-1940,1991-2000,6,5.068700512049815,0.0
1941-1950,2001-2010,6,4.195223772114487,0.0
1941-1950,1981-1990,4,5.872771704197456,0.0
1941-1950,1991-2000,5,4.580391218072997,0.0
1941-1950,1971-1980,3,4.439690924553813,0.0
1941-1950,1961-1970,2,4.366025604599912,0.0
1931-1940,2011-2018,8,5.315881771628402,0.0
1931-1940,2001-2010,7,5.060336773972537,0.0
1981-1990,2001-2010,2,4.415537584382351,0.0
1951-1960,1981-1990,3,5.665671535268296,0.0
1951-1960,2011-2018,6,4.375228187183512,0.0
1981-1990,2011-2018,3,4.373516287883759,0.0
1981-1990,1991-2000,1,5.197851344842994,0.0
1971-1980,1981-1990,1,4.673686705383076,0.0
1961-1970,2011-2018,5,4.5644659292967,0.0
1941-1950,2011-2018,7,4.567132443506695,0.0
1961-1970,1981-1990,2,5.91808848225341,0.0
1961-1970,2001-2010,4,4.274432663908249,0.0
1901-1910,2011-2018,11,4.979430743895787,0.001
1961-1970,1991-2000,3,4.427217493772619,0.001
1921-1930,1951-1960,3,4.909058415674139,0.001
1901-1910,2001-2010,10,4.536313734400718,0.004
1901-1910,1941-1950,4,4.708381667122536,0.005
1951-1960,2001-2010,5,3.9483708335657037,0.007
1991-2000,2011-2018,2,4.0677625454745145,0.01
1921-1930,1931-1940,1,4.9277508232427625,0.015
1971-1980,2011-2018,4,3.81232747089742,0.017
1961-1970,1971-1980,1,3.9059914501889756,0.021
1901-1910,1961-1970,6,4.351391359818627,0.027
1901-1910,1931-1940,3,4.761290791959971,0.029
1951-1960,1961-1970,1,3.9082368946863753,0.04
1941-1950,1951-1960,1,3.859925184248695,0.048
