timespan_1,timespan_2,distance,drift_magnitude,p_value
1971-1980,2011-2018,4,269.9963532817937,0.0
1921-1930,2011-2018,9,185.5271188910307,0.002
1971-1980,1981-1990,1,241.14738582300345,0.002
1971-1980,2001-2010,3,225.9261856304031,0.002
1901-1910,1971-1980,7,200.239016196334,0.005
1951-1960,1971-1980,2,242.6825786339778,0.006
1931-1940,1971-1980,4,185.3476615730191,0.008
1911-1920,1971-1980,6,183.22643723186854,0.012
1941-1950,1971-1980,3,191.6572357458894,0.012
1961-1970,1971-1980,1,232.88557663078853,0.018
1971-1980,1991-2000,2,186.42837460844166,0.032
1911-1920,2011-2018,10,149.1254553163566,0.034
1921-1930,1981-1990,6,164.02801845440666,0.046
1931-1940,2011-2018,8,149.81803631251245,0.047
1921-1930,1971-1980,5,159.69845332649874,0.049
