event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1911-1920,2011-2018,8.729949148888556,0.04,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
1,1931-1940,1971-1980,9.450316145828934,0.022,4,"1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
2,1931-1940,1981-1990,8.849778511422908,0.011,5,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
3,1931-1940,1991-2000,8.35222124207045,0.006,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1931-1940,2001-2010,8.36929998694896,0.003,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1931-1940,2011-2018,8.124548762855234,0.0,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1951-1960,2011-2018,7.937293619708039,0.011,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1961-1970,2001-2010,7.473881889373922,0.049,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
8,1961-1970,2011-2018,7.148028203437145,0.029,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1971-1980,2011-2018,7.48529108130044,0.014,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
