,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,1.9542583034866914,2.380957707499267,1.6609172899919382,3.1216616920264246,5.860342734260713,6.333868149793993,4.268351914099745,1.9776977527058393,3.619278806911914
1921-1930,1.9542583034866914,0.0,2.592626356283089,1.6294738554786603,3.446777496432916,5.970984883604684,6.5400644581272,4.828040386211847,2.525130896473474,3.52664609732496
1931-1940,2.380957707499267,2.592626356283089,0.0,2.8514085619091785,2.2830957727395513,4.969274212496961,5.256345593517813,4.019969007221861,1.9798219624112858,2.3611397371955603
1941-1950,1.6609172899919382,1.6294738554786603,2.8514085619091785,0.0,3.5556974137315454,6.234086926611279,6.989128928219398,5.03548538433793,2.6097857510086673,3.793392346893995
1951-1960,3.1216616920264246,3.446777496432916,2.2830957727395513,3.5556974137315454,0.0,4.013856525853767,4.600936038636638,3.485306141666453,2.821552406750638,2.884857021330189
1961-1970,5.860342734260713,5.970984883604684,4.969274212496961,6.234086926611279,4.013856525853767,0.0,3.412325896972348,4.517262633328921,5.215366370391696,4.971978952055952
1971-1980,6.333868149793993,6.5400644581272,5.256345593517813,6.989128928219398,4.600936038636638,3.412325896972348,0.0,3.808946047342648,5.548922458536201,5.382256878523194
1981-1990,4.268351914099745,4.828040386211847,4.019969007221861,5.03548538433793,3.485306141666453,4.517262633328921,3.808946047342648,0.0,3.9354348935327663,4.62830338323187
2001-2010,1.9776977527058393,2.525130896473474,1.9798219624112858,2.6097857510086673,2.821552406750638,5.215366370391696,5.548922458536201,3.9354348935327663,0.0,2.878711808795467
2011-2018,3.619278806911914,3.52664609732496,2.3611397371955603,3.793392346893995,2.884857021330189,4.971978952055952,5.382256878523194,4.62830338323187,2.878711808795467,0.0
