embedding_dim,drift_magnitude
0,0.05667604625284504
1,3.618404999187114
2,11.507565557503847
3,2.739506518807078
4,0.2615657009470947
5,1.1377491829022737
6,2.7522274582263844
7,21.24937991648217
8,1.1467823194367714
9,90.50049261954787
10,4.093207748571375
11,3.618633494276126
12,0.8563732516864739
13,28.363236837982516
14,18.29855721675748
15,5.569017730229128
16,4.925652634509
17,6.513122941200434
18,19.047555473550474
19,0.6905123590100074
20,0.658165752482912
21,1.6318948685600168
22,11.512718033947394
23,4.64860366129653
24,7.486736134915819
25,4.292013959134495
26,1.5247910534944855
27,20.344476271317472
28,2.3044137872995836
29,13.915011398486381
30,4.485924463476694
31,1.6842511843073686
32,45.82579204526265
33,3.6325543263003435
34,0.8498384292119849
35,5.614611937692965
36,2.888696161546304
37,1.3659911341003341
38,6.37284314000341
39,7.677226650275262
40,3.2679626311316046
41,5.050032770091283
42,2.9255543062603118
43,1.7116054317612823
44,28.262100580720823
45,4.443993802071404
46,2.00874320172213
47,3.554264524679688
48,2.977407550823435
49,1.9177506486162823
50,0.9599307445852169
51,1.9490833951614135
52,5.436165024185407
53,1.3677492318274027
54,8.008665406749481
55,8.745858508846402
56,20.81034643225378
57,1.8361324614856864
58,4.089847856445142
59,18.175828294882734
60,1.2315430633736917
61,5.069334396027878
62,3.1759301669884907
63,2.2376941641863115
64,0.9266282787572224
65,1.2187626570344927
66,7.1991192552444865
67,30.12161421587778
68,1.896214506412181
69,5.10064986481377
70,4.929292967579408
71,7.79168020111377
72,4.974995642176803
73,3.2646119255728365
74,5.190295452605584
75,2.097497354641251
76,2.0713206290487194
77,4.0823314140265285
78,5.554514734705963
79,4.697283191720886
80,6.234567289446777
81,1.8559907025972318
82,4.058970878934982
83,7.187931269261825
84,5.482885618806502
85,2.7586129460141406
86,5.524066985884774
87,3.0180282924913198
88,10.64348920043998
89,2.9501009179834545
90,3.3563982577536655
91,3.8840930970743686
92,4.596325053404547
93,4.82684279514986
94,1.6395461202902812
95,3.446659610755041
96,4.228550384849788
97,1.871674830463557
98,5.716930708734687
99,2.4611765990507988
100,2.2502738514822385
101,2.2126791258868805
102,5.140828731263544
103,4.713235730458567
104,5.09179983048839
105,3.3328867478844715
106,3.8382017267807607
107,2.5529854957901956
108,1.8585939746515745
109,4.150195647570553
110,3.074898738024041
111,3.884361543802483
112,7.264310867879798
113,2.670059880370709
114,3.071963134577275
115,2.7496839597482565
116,4.725834216218509
