synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s10206,decke,1901-1910,1911-1920,0.033728260937735045,0.1273650224145581
s10206,decke,1911-1920,1921-1930,0.012171391688762745,0.16999798441954417
s10206,decke,1921-1930,1931-1940,0.006215359239380078,0.2296306253000575
s10206,decke,1931-1940,1941-1950,0.004194761868448566,0.3326340637383636
s10206,decke,1941-1950,1951-1960,0.008243075854800436,0.33546944740682044
s10206,decke,1951-1960,1961-1970,0.02012474882760454,0.09128677591286234
s10206,decke,1961-1970,1971-1980,0.007939356963782535,0.27758473556544006
s10206,decke,1971-1980,1981-1990,0.009311803966956078,0.3437486479028402
s10206,decke,1981-1990,1991-2000,0.030735110157454722,0.11540220150888411
s10206,decke,1991-2000,2001-2010,0.009559779605027522,0.11228426442259216
