,1911-1920,1931-1940,1941-1950,1971-1980
1911-1920,0.0,0.476,0.788,1.0
1931-1940,0.476,0.0,0.226,0.364
1941-1950,0.788,0.226,0.0,0.421
1971-1980,1.0,0.364,0.421,0.0
