event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1931-1940,3.9723579473653476,0.035,3,"1911-1920,1921-1930,1931-1940",sudden_shift
1,1901-1910,1941-1950,4.4939468646360545,0.002,4,"1911-1920,1921-1930,1931-1940,1941-1950",sudden_shift
2,1901-1910,1961-1970,9.978524296241893,0.017,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
3,1901-1910,2001-2010,5.454780147798424,0.024,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",sudden_shift
4,1901-1910,2011-2018,5.9031854977300116,0.036,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
5,1911-1920,1941-1950,4.508041386685589,0.044,3,"1921-1930,1931-1940,1941-1950",sudden_shift
6,1911-1920,1961-1970,11.068386945528115,0.013,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
7,1921-1930,1941-1950,4.821612790701709,0.019,2,"1931-1940,1941-1950",sudden_shift
8,1931-1940,1961-1970,10.411889264842063,0.009,3,"1941-1950,1951-1960,1961-1970",sudden_shift
9,1941-1950,1961-1970,11.060325334319499,0.005,2,"1951-1960,1961-1970",sudden_shift
10,1941-1950,2001-2010,5.09846405314704,0.025,5,"1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",sudden_shift
11,1941-1950,2011-2018,5.352399822218545,0.037,6,"1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
12,1961-1970,2001-2010,10.888642948661108,0.033,3,"1971-1980,1981-1990,2001-2010",sudden_shift
13,1961-1970,2011-2018,12.139794193131133,0.026,4,"1971-1980,1981-1990,2001-2010,2011-2018",sudden_shift
