,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.072,0.156,0.035,0.002,0.33,0.017,0.099,0.254,0.024,0.036
1911-1920,0.072,0.0,0.146,0.407,0.044,0.322,0.013,0.062,0.334,0.071,0.073
1921-1930,0.156,0.146,0.0,0.12,0.019,0.461,0.058,0.243,0.323,0.129,0.08
1931-1940,0.035,0.407,0.12,0.0,0.176,0.736,0.009,0.125,0.698,0.197,0.16
1941-1950,0.002,0.044,0.019,0.176,0.0,0.26,0.005,0.08,0.677,0.025,0.037
1951-1960,0.33,0.322,0.461,0.736,0.26,0.0,0.12,0.541,0.731,0.766,0.725
1961-1970,0.017,0.013,0.058,0.009,0.005,0.12,0.0,0.187,0.19,0.033,0.026
1971-1980,0.099,0.062,0.243,0.125,0.08,0.541,0.187,0.0,0.382,0.254,0.52
1981-1990,0.254,0.334,0.323,0.698,0.677,0.731,0.19,0.382,0.0,0.265,0.099
2001-2010,0.024,0.071,0.129,0.197,0.025,0.766,0.033,0.254,0.265,0.0,0.276
2011-2018,0.036,0.073,0.08,0.16,0.037,0.725,0.026,0.52,0.099,0.276,0.0
