,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1931-1940,0.0,0.317,1.0,0.256,0.67,1.0
1941-1950,0.317,0.0,0.324,0.219,0.23,0.338
1951-1960,1.0,0.324,0.0,0.74,1.0,1.0
1991-2000,0.256,0.219,0.74,0.0,0.439,0.252
2001-2010,0.67,0.23,1.0,0.439,0.0,0.829
2011-2018,1.0,0.338,1.0,0.252,0.829,0.0
