,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,1.0,0.203,0.347,1.0,0.333,0.867,0.846,0.401,0.312
1911-1920,1.0,0.0,0.199,0.332,0.661,0.35,0.717,0.733,0.734,0.349
1921-1930,0.203,0.199,0.0,0.495,0.341,0.257,0.239,0.652,0.038,0.494
1931-1940,0.347,0.332,0.495,0.0,0.201,1.0,0.191,0.618,0.193,1.0
1941-1950,1.0,0.661,0.341,0.201,0.0,0.183,1.0,0.973,0.088,0.485
1951-1960,0.333,0.35,0.257,1.0,0.183,0.0,0.203,0.593,0.169,0.695
1961-1970,0.867,0.717,0.239,0.191,1.0,0.203,0.0,0.847,0.076,0.435
1971-1980,0.846,0.733,0.652,0.618,0.973,0.593,0.847,0.0,0.085,0.853
1981-1990,0.401,0.734,0.038,0.193,0.088,0.169,0.076,0.085,0.0,0.069
2001-2010,0.312,0.349,0.494,1.0,0.485,0.695,0.435,0.853,0.069,0.0
