event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1911-1920,1921-1930,2.354813429117538,0.02,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
1,1931-1940,1941-1950,2.8279360861637945,0.027,1,1941-1950,consecutive
2,1941-1950,1981-1990,3.2501899791091007,0.009,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
3,1941-1950,1991-2000,3.118965297876206,0.005,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1941-1950,2001-2010,3.062148166832603,0.002,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1941-1950,2011-2018,3.0780692290903984,0.001,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1971-1980,1991-2000,2.7976056793589046,0.034,2,"1981-1990,1991-2000",sudden_shift
7,1971-1980,2001-2010,2.628400775446542,0.017,3,"1981-1990,1991-2000,2001-2010",sudden_shift
8,1971-1980,2011-2018,2.9317071330772726,0.006,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1981-1990,2011-2018,2.43751808404051,0.039,3,"1991-2000,2001-2010,2011-2018",sudden_shift
