,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960
1901-1910,0.0,0.668,0.211,1.0,0.308
1911-1920,0.668,0.0,0.248,0.349,0.324
1921-1930,0.211,0.248,0.0,0.496,0.206
1931-1940,1.0,0.349,0.496,0.0,1.0
1951-1960,0.308,0.324,0.206,1.0,0.0
