timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1941-1950,4,4.991981690896553,0.0
1901-1910,1911-1920,1,6.121210644484829,0.002
1901-1910,1951-1960,5,8.773234146892616,0.002
1951-1960,1981-1990,3,10.263365783038953,0.002
1951-1960,1961-1970,1,8.973402842328818,0.002
1951-1960,1971-1980,2,9.95557250972089,0.003
1901-1910,2001-2010,9,7.496339533762628,0.004
1901-1910,1931-1940,3,6.722798715284068,0.004
1911-1920,1951-1960,4,8.558449234883073,0.013
1931-1940,1941-1950,1,6.194464767078247,0.015
1901-1910,1921-1930,2,4.283487998201963,0.022
1901-1910,1961-1970,6,5.835881792062063,0.025
1941-1950,1951-1960,1,8.3625112246939,0.028
1961-1970,2001-2010,3,7.434484254499985,0.043
1921-1930,1951-1960,3,8.189033100785288,0.045
1911-1920,1931-1940,2,7.039873150811643,0.048
