,1901-1910,1951-1960,1991-2000,2001-2010
1901-1910,0.0,0.317,0.565,0.285
1951-1960,0.317,0.0,0.184,0.795
1991-2000,0.565,0.184,0.0,0.313
2001-2010,0.285,0.795,0.313,0.0
