synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9697,flügel,1901-1910,1911-1920,0.027200244842744165,0.14468462309550723
s9697,flügel,1911-1920,1921-1930,0.008179644933702589,0.09393709278536908
s9697,flügel,1921-1930,1931-1940,0.08724438883565991,1.991065718475888
s9697,flügel,1931-1940,1941-1950,0.06002019683719232,0.5975696143148647
s9697,flügel,1941-1950,1951-1960,0.12589585464251543,1.072644723216525
s9697,flügel,1951-1960,1961-1970,0.11273284852904907,0.3459403068430897
s9697,flügel,1961-1970,1971-1980,0.19127841839529286,0.18332661142407214
s9697,flügel,1971-1980,1981-1990,0.16492571281446208,0.32562897345603653
s9697,flügel,1981-1990,1991-2000,0.0806566575127431,0.3972993813836926
s9697,flügel,1991-2000,2001-2010,0.06696875769189316,2.117662142040779
