,1921-1930,1931-1940,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.388,0.969,0.642,0.764
1931-1940,0.388,0.0,0.288,0.381,0.789
1991-2000,0.969,0.288,0.0,0.319,0.573
2001-2010,0.642,0.381,0.319,0.0,0.813
2011-2018,0.764,0.789,0.573,0.813,0.0
