,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.178,0.68,0.416,0.093,0.744,0.26,0.226,0.581,0.654,0.238,0.401
1911-1920,0.178,0.0,0.321,0.682,0.745,0.515,0.933,0.193,0.13,0.442,0.057,0.184
1921-1930,0.68,0.321,0.0,0.494,0.095,0.501,0.219,0.253,0.278,0.562,0.274,0.753
1931-1940,0.416,0.682,0.494,0.0,0.239,0.798,0.883,0.241,0.187,0.711,0.236,0.512
1941-1950,0.093,0.745,0.095,0.239,0.0,0.284,0.728,0.022,0.084,0.065,0.008,0.047
1951-1960,0.744,0.515,0.501,0.798,0.284,0.0,0.732,0.397,0.756,0.701,0.103,0.181
1961-1970,0.26,0.933,0.219,0.883,0.728,0.732,0.0,0.17,0.2,0.41,0.139,0.251
1971-1980,0.226,0.193,0.253,0.241,0.022,0.397,0.17,0.0,0.193,0.928,0.131,0.263
1981-1990,0.581,0.13,0.278,0.187,0.084,0.756,0.2,0.193,0.0,0.744,0.04,0.07
1991-2000,0.654,0.442,0.562,0.711,0.065,0.701,0.41,0.928,0.744,0.0,0.351,0.629
2001-2010,0.238,0.057,0.274,0.236,0.008,0.103,0.139,0.131,0.04,0.351,0.0,0.617
2011-2018,0.401,0.184,0.753,0.512,0.047,0.181,0.251,0.263,0.07,0.629,0.617,0.0
