,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.603,0.158,0.373,0.327,0.398,0.12,0.372,0.439,0.073,0.077
1921-1930,0.603,0.0,0.322,0.496,0.134,0.212,0.417,0.756,0.999,0.608,0.867
1931-1940,0.158,0.322,0.0,0.344,0.026,0.003,0.079,0.112,0.076,0.01,0.005
1941-1950,0.373,0.496,0.344,0.0,0.081,0.059,0.19,0.086,0.508,0.233,0.154
1951-1960,0.327,0.134,0.026,0.081,0.0,0.801,0.076,0.281,0.034,0.029,0.009
1961-1970,0.398,0.212,0.003,0.059,0.801,0.0,0.04,0.279,0.01,0.01,0.004
1971-1980,0.12,0.417,0.079,0.19,0.076,0.04,0.0,0.446,0.17,0.226,0.048
1981-1990,0.372,0.756,0.112,0.086,0.281,0.279,0.446,0.0,0.255,0.224,0.082
1991-2000,0.439,0.999,0.076,0.508,0.034,0.01,0.17,0.255,0.0,0.034,0.069
2001-2010,0.073,0.608,0.01,0.233,0.029,0.01,0.226,0.224,0.034,0.0,0.197
2011-2018,0.077,0.867,0.005,0.154,0.009,0.004,0.048,0.082,0.069,0.197,0.0
