,1921-1930,1931-1940,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.528,0.943,0.466,0.838
1931-1940,0.528,0.0,0.294,0.432,0.798
1991-2000,0.943,0.294,0.0,0.499,0.536
2001-2010,0.466,0.432,0.499,0.0,0.522
2011-2018,0.838,0.798,0.536,0.522,0.0
