,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.295,0.799,0.259,0.219,0.744,0.364,0.641,0.79,0.883,0.406
1911-1920,0.295,0.0,0.509,0.151,0.013,0.22,0.107,0.432,0.318,0.649,0.074
1921-1930,0.799,0.509,0.0,0.263,0.035,0.245,0.025,0.638,0.7,0.856,0.042
1931-1940,0.259,0.151,0.263,0.0,0.148,0.262,0.078,0.897,0.595,0.92,0.136
1941-1950,0.219,0.013,0.035,0.148,0.0,0.479,0.661,0.766,0.272,0.678,0.675
1951-1960,0.744,0.22,0.245,0.262,0.479,0.0,0.738,0.307,0.275,0.623,0.443
1961-1970,0.364,0.107,0.025,0.078,0.661,0.738,0.0,0.832,0.293,0.716,0.738
1971-1980,0.641,0.432,0.638,0.897,0.766,0.307,0.832,0.0,0.452,0.59,0.325
1981-1990,0.79,0.318,0.7,0.595,0.272,0.275,0.293,0.452,0.0,0.514,0.084
2001-2010,0.883,0.649,0.856,0.92,0.678,0.623,0.716,0.59,0.514,0.0,0.529
2011-2018,0.406,0.074,0.042,0.136,0.675,0.443,0.738,0.325,0.084,0.529,0.0
