,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1931-1940,0.0,0.057,0.056,0.102,0.067,0.001,0.094,0.011
1941-1950,0.057,0.0,0.732,0.789,0.445,0.005,0.354,0.206
1951-1960,0.056,0.732,0.0,0.999,0.931,0.346,0.412,0.475
1961-1970,0.102,0.789,0.999,0.0,0.988,0.918,0.532,0.804
1971-1980,0.067,0.445,0.931,0.988,0.0,0.695,0.593,0.852
1981-1990,0.001,0.005,0.346,0.918,0.695,0.0,0.078,0.101
2001-2010,0.094,0.354,0.412,0.532,0.593,0.078,0.0,0.229
2011-2018,0.011,0.206,0.475,0.804,0.852,0.101,0.229,0.0
