embedding_dim,drift_magnitude
0,16.114302002816686
1,31.02890615189902
2,28.75198536555919
3,48.17925613302176
4,50.57163408813997
5,27.507389665219414
6,23.482238278849096
7,19.17108747720601
8,19.146886929431865
9,24.250661027827462
10,20.29350316243141
11,36.860535754953496
12,40.592598204317625
13,33.22813401335476
14,14.299659969481525
15,27.552006778139535
16,25.938137874041974
17,16.22555827792727
18,40.89656574477922
19,39.6721848577755
20,26.99583188906563
21,10.748733455554442
22,23.91494514660387
23,31.784209738300067
24,34.88728544202483
25,15.430517112346598
26,20.414179303806414
27,14.049989349781582
28,24.161322925444473
29,31.401917785203853
30,34.44082088945185
31,32.004764352898334
32,30.77971097429621
33,30.16887933234883
34,10.881335122054834
35,29.164472641635015
36,25.99281386593606
37,31.20968598193455
38,32.33238777519396
39,27.209082474896572
40,29.90863524283914
41,21.83477780858228
42,31.954959607454704
43,24.972462432060336
44,36.32325543630582
45,26.71086312159941
46,20.68703140935443
47,33.48023501522114
48,14.575845968940046
49,34.710071987899326
50,27.324000978124896
51,58.94535864094915
52,32.97223945972233
53,29.124435914784907
54,29.094224596331706
55,34.62480423149982
56,48.64779605366042
57,19.031337593197065
58,19.239827853459236
59,37.67890275510315
60,27.517348797662716
61,29.102703230696218
62,33.21387022967107
63,28.907769591717745
64,22.775139585052006
65,26.315533350293133
66,26.058134625808673
67,12.426285082905142
68,55.77702261568787
69,28.22268153081213
70,28.358206594384704
71,37.99616938371655
72,37.0028711109574
73,15.335208745125064
74,29.017270586699695
75,53.63534606688215
76,13.484420102049562
77,20.456090375992403
78,38.529468064860396
79,40.09738805743982
80,22.28990548595592
81,33.871822458225466
82,15.090077501665178
83,24.059077493033815
84,18.321953489048596
85,20.856069152136108
86,17.866512693933448
87,18.417966786034413
88,25.8841594949573
89,27.37937690530036
90,39.29450536708089
91,19.452615147122508
92,22.843195967453706
93,26.211885445835023
94,28.604273331153554
95,27.86069103264453
96,18.824572045297632
97,21.573133306844493
98,23.037754503250436
99,31.113624552898997
100,49.57073277949156
101,43.72476369510768
102,17.841106232865275
103,19.21034253367217
104,26.18737982268905
105,18.754613398849415
106,33.67421180035485
107,30.480885840148744
108,53.101969581929716
109,26.14149235926892
110,27.506922345716085
111,26.326389826454
112,45.988610864584835
113,23.144639920472766
114,39.192272922722836
115,20.323134480112856
116,39.70710571027532
117,38.14355001006168
118,22.14156154621251
119,43.69724315273904
120,45.25646443617825
121,34.171704911480106
122,14.286856002510248
123,30.748652861923954
124,17.371854110935303
125,21.491585641791136
126,38.60503466902877
127,23.460916833696214
128,9.923460247942282
129,27.47835377491861
130,23.173026641041737
131,20.64629353349048
132,51.31088481396145
133,36.08810107532468
134,21.273855138452323
135,30.131718244387073
136,23.456946852358257
137,22.722579461833618
138,22.424174608890382
139,36.82288708096813
140,31.51454644615099
141,17.72788710619302
142,28.947745657657716
143,16.560395621370933
144,13.25261253980578
145,25.873811468517996
146,32.018836285812625
147,22.38981089836824
148,20.869424841575253
149,21.527511121099263
150,24.52146438528152
151,44.96042189604601
152,23.8234651743286
153,28.84503348116615
154,42.85861384937289
155,24.01001831524229
156,30.204474937343416
157,38.969518240091816
158,25.6931442921032
159,15.19880601776105
160,29.8430736268172
161,33.685187293411424
162,29.99160027409939
163,14.6274523650622
164,38.09042779314168
165,23.10298851651985
166,30.092688882692624
167,24.274199832588657
168,30.986183943402377
169,39.43089507550877
170,44.59115296217405
171,42.551030697557955
172,29.10818259791948
173,39.519820221048235
174,50.55038627859093
175,25.276245475903018
176,25.324336596832456
177,25.75847470120579
178,35.08770699218344
179,24.14335856607459
180,22.615055756554636
181,33.75711874915464
182,28.762768987279607
183,37.44407276738544
184,14.24533993451083
185,44.6869860246256
186,38.721576466100686
187,30.794208881743124
188,25.799929141568555
189,28.719963865617736
190,26.327218842393567
191,19.74256299058158
192,44.607016006421325
193,23.553561501430234
194,19.38141627646761
195,26.36970908769871
196,19.120817045901084
197,25.846967833755752
198,28.16849828137877
199,29.716842023972916
200,48.79279214033017
201,48.339273195574364
202,23.803740249667396
203,9.512775638683797
204,30.16790209739434
205,32.074317716524895
206,28.10742867998236
207,18.923704441341155
208,38.71659130566125
209,30.416821100426876
210,64.85061725939822
211,34.52046353998236
212,20.909524070207564
213,29.68956609056995
214,34.29200505825271
215,33.141270487243226
216,20.35813863853912
217,19.34952896685745
218,19.23051655957827
219,41.34545389503082
220,44.93777651061291
221,30.28268819491402
222,16.592432611710542
223,30.6825972445255
224,30.802208146242787
225,38.10101944022288
226,18.884797078101666
227,32.54047271247469
228,14.422896356097885
229,43.417677885660666
230,46.61545119288071
231,40.3289120444389
232,24.484793653808836
233,9.691841692832773
234,30.14838901313956
235,30.943917024594526
236,28.243379905705496
237,21.971792228791895
238,63.300437344915196
239,29.020217199127185
240,37.74863674029052
241,15.037505802675208
242,33.34284086031979
243,38.471145629256206
244,23.0442332895814
245,44.06423689519693
246,58.444355226348726
247,21.30678087879925
248,25.618797787747344
249,43.27118482911441
250,17.055068082791895
251,29.802609412147678
252,26.589587610369755
253,24.329897263306307
254,15.62407759474883
255,46.02879926243954
256,39.904241653868034
257,24.41791836632231
258,19.35006471876866
259,20.06907726407118
260,17.073075990491876
261,144.47938554026248
262,28.819822079175974
263,24.91115476685774
264,32.24456945556769
265,40.105971036850484
266,15.928227163766962
267,20.268497149411225
268,23.174570037902114
269,35.61638207571575
270,23.41763455599552
271,23.275304299173612
272,26.760214979394764
273,35.464625268474066
274,57.61884030521278
275,17.828405338042266
276,34.98636797785934
277,29.820618722538846
278,23.820359309432796
279,31.766084722618782
280,21.055116684265094
281,27.440505706930853
282,50.645567225692716
283,33.17377594451506
284,48.35964647723371
285,43.00517871969371
286,32.62979193099462
287,15.660573753463785
288,18.49383766485482
289,35.62551039518497
290,33.055579137134714
291,24.1665544694364
292,20.5018716494509
293,10.220820973141839
294,23.420296273383602
295,30.909852631103867
296,22.576787878382248
297,35.06444145845195
298,22.48222998354109
299,24.62188850180847
300,27.987911170791023
301,21.411867492516443
302,25.918476311047545
303,31.72317830240193
304,38.34394216128873
305,9.592808247802187
306,43.724675579883844
307,32.23573838601803
308,31.2940121244193
309,22.115466550907115
310,21.77219997374034
311,32.617825834797095
312,10.246915585994126
313,34.31948243554138
314,36.4708286926929
315,24.53238789968715
316,35.99585845802224
317,24.77940660592113
318,70.36365540651083
319,44.833548979768885
320,37.40801913362842
321,21.415394813604653
322,64.50239632595374
323,15.64185443555838
324,17.187530778770764
325,34.8346168888154
326,25.571898019271803
327,30.18256282210098
328,41.3192993074141
329,23.336417812246783
330,20.111584551631942
331,37.96101309970108
332,41.54931928601742
333,31.75913015541192
334,22.388559796885627
335,16.873616396261095
336,30.162969188545528
337,34.35129326117442
338,47.30734412254975
339,38.674021646420876
340,26.579824338960588
341,28.007297229118517
342,17.45722197603251
343,24.049582476188824
344,52.19490337672223
345,23.603163422403973
346,30.95046679073859
347,40.33574704578228
348,40.60917442913597
349,21.637989675213344
350,14.54912257852477
351,51.371111272753915
352,24.460834569147078
353,24.964536118101616
354,38.991212015408315
355,32.07882861929808
356,24.41044314811873
357,21.539411815898884
358,38.229140393268636
359,32.6935224868572
360,21.465930867853942
361,31.396105564145454
362,38.10446652142055
363,30.88545954715226
364,24.127436094823878
365,17.313132559842064
366,22.20859717832957
367,45.57625630377817
368,23.145326994116292
369,18.880499651019704
370,18.577288964965845
371,35.65945450890188
372,38.84894426600812
373,32.14350454014971
374,39.525259484847524
375,28.117866080219358
376,34.10303994482284
377,24.676775443158984
378,22.759932953190887
379,21.986132416982965
380,41.48428267703655
381,43.710721806965225
382,43.57793466248456
383,15.009657478156093
384,29.901010341632805
385,35.631078427922965
386,29.24171191695875
387,31.820916802954983
388,58.88266836123954
389,18.570189492228263
390,31.435485097849778
391,20.14607396215676
392,27.08053952931332
393,27.339704174603977
394,27.31170780104515
395,37.963082798557714
396,20.58272905339705
397,16.35189207349429
398,32.471701316851856
399,43.765605859620216
400,20.789403907162445
401,19.816288124809287
402,32.695414492195724
403,50.95934049938545
404,38.5300111396769
405,19.107677433397907
406,26.017497467608884
407,26.91331510987486
408,20.719042468577726
409,42.74900306354946
410,34.53610512290577
411,23.15668200983303
412,30.629107752162117
413,21.781077506477104
414,22.894733336613857
415,41.15636627699557
416,18.708496910788938
417,33.785318711161636
418,43.62507899026922
419,25.141063379681928
420,32.25931094227694
421,35.99759189980204
422,24.96579137030808
