,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.0,0.0,0.0,0.0,0.037,0.007,0.003,0.015,0.0,0.016
1911-1920,0.0,0.0,0.0,0.188,0.063,0.096,0.118,0.038,0.237,0.068,0.085
1921-1930,0.0,0.0,0.0,0.001,0.0,0.047,0.057,0.17,0.151,0.0,0.367
1931-1940,0.0,0.188,0.001,0.0,0.048,0.089,0.497,0.154,0.544,0.006,0.214
1941-1950,0.0,0.063,0.0,0.048,0.0,0.018,0.035,0.008,0.359,0.004,0.014
1951-1960,0.037,0.096,0.047,0.089,0.018,0.0,0.954,0.422,0.51,0.673,0.358
1961-1970,0.007,0.118,0.057,0.497,0.035,0.954,0.0,0.884,0.709,0.366,0.346
1971-1980,0.003,0.038,0.17,0.154,0.008,0.422,0.884,0.0,0.18,0.028,0.275
1981-1990,0.015,0.237,0.151,0.544,0.359,0.51,0.709,0.18,0.0,0.22,0.421
2001-2010,0.0,0.068,0.0,0.006,0.004,0.673,0.366,0.028,0.22,0.0,0.035
2011-2018,0.016,0.085,0.367,0.214,0.014,0.358,0.346,0.275,0.421,0.035,0.0
