timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,4.190738836569356,0.0
1901-1910,1921-1930,2,3.597001545453752,0.0
1901-1910,1931-1940,3,4.103279457059763,0.0
1901-1910,1941-1950,4,4.736970852646001,0.0
1921-1930,1941-1950,2,5.288828846960914,0.0
1921-1930,2001-2010,7,5.724158592789298,0.0
1911-1920,1921-1930,1,4.808526249448505,0.0
1901-1910,2001-2010,9,4.276364810140124,0.0
1921-1930,1931-1940,1,4.1351255332175185,0.001
1901-1910,1971-1980,7,5.577561503432682,0.003
1941-1950,2001-2010,5,4.438721666485352,0.004
1931-1940,2001-2010,6,3.9397349705485416,0.006
1901-1910,1961-1970,6,5.283862778436279,0.007
1941-1950,1971-1980,3,6.034969087149498,0.008
1941-1950,2011-2018,6,4.522117318494614,0.014
1901-1910,1981-1990,8,5.872316469363184,0.015
1901-1910,2011-2018,10,3.765248915807766,0.016
1941-1950,1951-1960,1,5.452637021383972,0.018
1971-1980,2001-2010,2,5.610135113165183,0.028
1941-1950,1961-1970,2,5.287090759278833,0.035
2001-2010,2011-2018,1,4.705477662464803,0.035
1901-1910,1951-1960,5,4.370997869270895,0.037
1911-1920,1971-1980,6,5.113862068566173,0.038
1921-1930,1951-1960,3,5.428662968278894,0.047
1931-1940,1941-1950,1,2.6668960365318215,0.048
