,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,15.421571551414159,12.58301304213237,18.87413931287748,14.500070003724321,22.72151804005275,14.090399334504903,14.432047659670685,13.854168579152606,17.802976599261708
1911-1920,15.421571551414159,0.0,10.781357882457355,19.64050790762456,14.70908787400735,22.45320405029103,14.166367047751795,11.482219976964437,14.655203514692788,19.167295275040434
1921-1930,12.58301304213237,10.781357882457355,0.0,18.416587742582447,12.656138498798994,20.00091432445193,11.628301114251512,9.311372903553305,12.181380903850107,16.222350472166077
1931-1940,18.87413931287748,19.64050790762456,18.416587742582447,0.0,17.638699435947398,25.30418911456004,18.7194868360281,18.92534228629537,19.981881025570793,21.12956447904605
1941-1950,14.500070003724321,14.70908787400735,12.656138498798994,17.638699435947398,0.0,20.932582404858845,11.388227910434894,12.367782019517529,13.032464399335636,16.400342622265356
1951-1960,22.72151804005275,22.45320405029103,20.00091432445193,25.30418911456004,20.932582404858845,0.0,17.135740456618237,21.26007869099427,20.406089488660335,22.235817721666724
1961-1970,14.090399334504903,14.166367047751795,11.628301114251512,18.7194868360281,11.388227910434894,17.135740456618237,0.0,11.064317464995511,11.994602371909407,15.339415654006213
1971-1980,14.432047659670685,11.482219976964437,9.311372903553305,18.92534228629537,12.367782019517529,21.26007869099427,11.064317464995511,0.0,12.683292129801595,16.408479192147826
1981-1990,13.854168579152606,14.655203514692788,12.181380903850107,19.981881025570793,13.032464399335636,20.406089488660335,11.994602371909407,12.683292129801595,0.0,14.118515891720898
2001-2010,17.802976599261708,19.167295275040434,16.222350472166077,21.12956447904605,16.400342622265356,22.235817721666724,15.339415654006213,16.408479192147826,14.118515891720898,0.0
