,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,0.324,0.582,0.676,0.511,0.333,0.874,0.119,0.735,0.312
1911-1920,0.324,0.0,0.898,0.332,0.287,0.35,0.386,0.329,0.264,0.349
1921-1930,0.582,0.898,0.0,0.245,0.247,0.257,0.688,0.791,0.599,0.097
1931-1940,0.676,0.332,0.245,0.0,0.775,1.0,0.81,0.231,0.585,1.0
1941-1950,0.511,0.287,0.247,0.775,0.0,0.405,0.884,0.143,0.291,0.218
1951-1960,0.333,0.35,0.257,1.0,0.405,0.0,0.778,0.191,0.377,1.0
1961-1970,0.874,0.386,0.688,0.81,0.884,0.778,0.0,0.457,0.688,0.512
1971-1980,0.119,0.329,0.791,0.231,0.143,0.191,0.457,0.0,0.08,0.069
1981-1990,0.735,0.264,0.599,0.585,0.291,0.377,0.688,0.08,0.0,0.678
2001-2010,0.312,0.349,0.097,1.0,0.218,1.0,0.512,0.069,0.678,0.0
