event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1941-1950,1951-1960,9.993654813635702,0.041,1,1951-1960,consecutive
1,1971-1980,1981-1990,5.2482366839687975,0.016,1,1981-1990,consecutive
2,1981-1990,1991-2000,5.726065386672805,0.011,3,"1991-2000,2001-2010,2011-2018",consecutive
3,1921-1930,1941-1950,11.624445469331267,0.038,2,"1931-1940,1941-1950",sudden_shift
