,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1931-1940,0.0,0.088,0.005,0.007,0.001,0.0,0.031,0.035
1941-1950,0.088,0.0,0.349,0.302,0.046,0.03,0.057,0.247
1951-1960,0.005,0.349,0.0,0.799,0.32,0.472,0.158,0.398
1961-1970,0.007,0.302,0.799,0.0,0.522,0.601,0.082,0.725
1971-1980,0.001,0.046,0.32,0.522,0.0,0.754,0.057,0.207
1981-1990,0.0,0.03,0.472,0.601,0.754,0.0,0.053,0.554
2001-2010,0.031,0.057,0.158,0.082,0.057,0.053,0.0,0.352
2011-2018,0.035,0.247,0.398,0.725,0.207,0.554,0.352,0.0
