timespan_1,timespan_2,distance,drift_magnitude,p_value
1931-1940,2001-2010,7,3.0056879669474945,0.0
1901-1910,2001-2010,10,2.306180582291304,0.002
1911-1920,2001-2010,9,2.2337361851129702,0.002
1971-1980,1981-1990,1,4.646038138260045,0.006
1961-1970,2001-2010,4,2.8672767179803733,0.008
1911-1920,1971-1980,6,3.710840041242849,0.013
1911-1920,1991-2000,8,2.2298815532241685,0.016
1921-1930,1971-1980,5,3.9181762850535513,0.016
1911-1920,1961-1970,5,3.0818908117133414,0.018
1971-1980,2001-2010,3,3.6092351995698406,0.024
1911-1920,1931-1940,2,2.547874325580286,0.025
1961-1970,2011-2018,5,4.758711725317287,0.03
1991-2000,2001-2010,1,2.1665065923200135,0.036
1901-1910,1921-1930,2,2.2007348494480232,0.038
1901-1910,1911-1920,1,1.8172448373783248,0.04
1941-1950,1981-1990,4,4.221021725821704,0.041
1941-1950,1961-1970,2,3.8281802135454046,0.044
1901-1910,1941-1950,4,3.079319136954616,0.044
