,1901-1910,1951-1960,1991-2000,2001-2010
1901-1910,0.0,1.0,0.854,0.707
1951-1960,1.0,0.0,0.121,0.395
1991-2000,0.854,0.121,0.0,0.154
2001-2010,0.707,0.395,0.154,0.0
