event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1951-1960,9.222447322981829,0.009,5,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
1,1901-1910,1961-1970,7.993529774818279,0.0,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
2,1901-1910,1971-1980,7.544434911872306,0.0,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1901-1910,1981-1990,7.048477993757457,0.0,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
4,1901-1910,1991-2000,7.0435454015217696,0.0,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
5,1901-1910,2001-2010,7.005215549946295,0.0,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1901-1910,2011-2018,7.585383404936693,0.0,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1911-1920,1971-1980,10.52457239380379,0.0,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
8,1911-1920,1981-1990,10.7634415373759,0.006,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
9,1911-1920,1991-2000,10.384679991874876,0.021,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
10,1911-1920,2001-2010,10.637854522332939,0.019,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
11,1921-1930,1951-1960,9.516349357166561,0.033,3,"1931-1940,1941-1950,1951-1960",sudden_shift
12,1921-1930,1961-1970,8.621366334165126,0.007,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
13,1921-1930,1971-1980,8.245857184763297,0.0,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
14,1921-1930,1981-1990,8.31867946361065,0.0,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
15,1921-1930,1991-2000,7.742134589415951,0.002,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
16,1921-1930,2001-2010,7.9093761812113526,0.002,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
17,1921-1930,2011-2018,8.320277823016534,0.0,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
18,1931-1940,1971-1980,8.75120316343775,0.008,4,"1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
19,1931-1940,1981-1990,8.622188578321865,0.02,5,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
20,1931-1940,1991-2000,8.642378773814333,0.016,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
21,1931-1940,2001-2010,8.706458162380706,0.033,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
22,1931-1940,2011-2018,9.314731618285322,0.019,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
