timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1961-1970,6,7.993529774818279,0.0
1901-1910,1971-1980,7,7.544434911872306,0.0
1901-1910,1981-1990,8,7.048477993757457,0.0
1901-1910,1991-2000,9,7.0435454015217696,0.0
1901-1910,2011-2018,11,7.585383404936693,0.0
1901-1910,2001-2010,10,7.005215549946295,0.0
1911-1920,1971-1980,6,10.52457239380379,0.0
1921-1930,1981-1990,6,8.31867946361065,0.0
1921-1930,1971-1980,5,8.245857184763297,0.0
1921-1930,2011-2018,9,8.320277823016534,0.0
1921-1930,2001-2010,8,7.9093761812113526,0.002
1921-1930,1991-2000,7,7.742134589415951,0.002
1911-1920,1981-1990,7,10.7634415373759,0.006
1921-1930,1961-1970,4,8.621366334165126,0.007
1931-1940,1971-1980,4,8.75120316343775,0.008
1901-1910,1951-1960,5,9.222447322981829,0.009
1931-1940,1991-2000,6,8.642378773814333,0.016
1931-1940,2011-2018,8,9.314731618285322,0.019
1911-1920,2001-2010,9,10.637854522332939,0.019
1931-1940,1981-1990,5,8.622188578321865,0.02
1911-1920,1991-2000,8,10.384679991874876,0.021
1921-1930,1951-1960,3,9.516349357166561,0.033
1931-1940,2001-2010,7,8.706458162380706,0.033
