event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,4.045374118904895,0.009,1,1911-1920,consecutive
1,1991-2000,2001-2010,4.644703577893508,0.017,1,2001-2010,consecutive
2,2001-2010,2011-2018,3.5493316595481126,0.02,1,2011-2018,consecutive
3,1911-1920,1941-1950,2.9362497970215324,0.013,3,"1921-1930,1931-1940,1941-1950",sudden_shift
4,1911-1920,1961-1970,3.5333825986720244,0.042,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
5,1911-1920,1971-1980,4.765066214352811,0.025,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
6,1911-1920,1991-2000,5.303178430995649,0.004,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
7,1931-1940,1991-2000,4.279420512415714,0.025,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
8,1941-1950,1981-1990,4.669152962411139,0.025,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
9,1941-1950,1991-2000,3.9261234800490783,0.031,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
10,1961-1970,1981-1990,5.311115404282293,0.034,2,"1971-1980,1981-1990",sudden_shift
