,1911-1920,1931-1940,1941-1950,1971-1980
1911-1920,0.0,0.277,0.391,1.0
1931-1940,0.277,0.0,0.634,0.205
1941-1950,0.391,0.634,0.0,0.421
1971-1980,1.0,0.205,0.421,0.0
