,1901-1910,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.668,1.0,0.614,0.485,0.597,0.617,1.0,1.0,0.316,1.0
1921-1930,0.668,0.0,0.664,0.408,0.307,0.264,0.277,1.0,0.348,0.677,0.678
1931-1940,1.0,0.664,0.0,0.208,0.276,0.927,0.126,0.647,0.343,0.656,0.344
1941-1950,0.614,0.408,0.208,0.0,0.142,0.66,0.534,0.402,0.812,0.928,0.82
1951-1960,0.485,0.307,0.276,0.142,0.0,0.399,0.728,0.397,0.507,0.385,0.279
1961-1970,0.597,0.264,0.927,0.66,0.399,0.0,0.176,0.463,0.598,0.686,0.423
1971-1980,0.617,0.277,0.126,0.534,0.728,0.176,0.0,0.714,1.0,0.646,0.684
1981-1990,1.0,1.0,0.647,0.402,0.397,0.463,0.714,0.0,1.0,1.0,1.0
1991-2000,1.0,0.348,0.343,0.812,0.507,0.598,1.0,1.0,0.0,0.652,1.0
2001-2010,0.316,0.677,0.656,0.928,0.385,0.686,0.646,1.0,0.652,0.0,1.0
2011-2018,1.0,0.678,0.344,0.82,0.279,0.423,0.684,1.0,1.0,1.0,0.0
