,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,0.195,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.0
1921-1930,0.195,0.0,0.013,0.008,0.0,0.0,0.0,0.0,0.087,0.0
1931-1940,0.001,0.013,0.0,0.0,0.139,0.0,0.0,0.0,0.136,0.0
1941-1950,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
1951-1960,0.0,0.0,0.139,0.0,0.0,0.297,0.04,0.494,0.131,0.006
1961-1970,0.0,0.0,0.0,0.0,0.297,0.0,0.122,0.189,0.0,0.0
1971-1980,0.0,0.0,0.0,0.0,0.04,0.122,0.0,0.195,0.001,0.0
1981-1990,0.0,0.0,0.0,0.0,0.494,0.189,0.195,0.0,0.021,0.0
2001-2010,0.003,0.087,0.136,0.001,0.131,0.0,0.001,0.021,0.0,0.016
2011-2018,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.016,0.0
