timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1941-1950,3,4.19338862613181,0.0
1911-1920,1951-1960,4,5.25759333577964,0.0
1911-1920,1961-1970,5,6.9886441080974375,0.0
1911-1920,1971-1980,6,8.238033259106476,0.0
1911-1920,2011-2018,9,5.781898485982657,0.0
1911-1920,1981-1990,7,5.91630814133138,0.0
1921-1930,1951-1960,3,5.569086222517419,0.0
1921-1930,1961-1970,4,7.262994715513361,0.0
1921-1930,2011-2018,8,5.464175221215423,0.0
1931-1940,1941-1950,1,4.563669820102729,0.0
1921-1930,1981-1990,6,6.270583891368107,0.0
1921-1930,1971-1980,5,8.46397844423923,0.0
1931-1940,2011-2018,7,5.026312821830612,0.0
1931-1940,1981-1990,5,5.645286309934478,0.0
1931-1940,1971-1980,4,7.702093202067177,0.0
1931-1940,1961-1970,3,6.404533770471537,0.0
1941-1950,2011-2018,6,6.190870055486498,0.0
1971-1980,2011-2018,3,8.556167937619984,0.0
1961-1970,2011-2018,4,7.091045734852881,0.0
1961-1970,2001-2010,3,6.464257385525463,0.0
1941-1950,1951-1960,1,6.134780874933108,0.0
1941-1950,1961-1970,2,7.528167684313617,0.0
1941-1950,1971-1980,3,8.916980655299833,0.0
1941-1950,1981-1990,4,6.76292355849229,0.0
1981-1990,2011-2018,2,6.667347161927346,0.0
1941-1950,2001-2010,5,4.913273778050361,0.001
1911-1920,1931-1940,2,4.240323308594759,0.001
1971-1980,2001-2010,2,7.428668415643596,0.001
1911-1920,2001-2010,8,4.66294242091436,0.003
1951-1960,2011-2018,5,5.755526987420641,0.006
1921-1930,1941-1950,2,3.970135164618093,0.008
1921-1930,1931-1940,1,4.197132252707324,0.013
2001-2010,2011-2018,1,5.170717273070557,0.016
1981-1990,2001-2010,1,5.583142708057227,0.021
1951-1960,1971-1980,2,6.192765938082889,0.04
