event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,2.8966683529916617,0.049,1,1911-1920,consecutive
1,1911-1920,2001-2010,3.678889379812022,0.0,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
2,1911-1920,2011-2018,4.823042405234355,0.0,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
3,1921-1930,1951-1960,3.2796083526934314,0.017,3,"1931-1940,1941-1950,1951-1960",sudden_shift
4,1921-1930,2001-2010,3.662191309962159,0.007,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1921-1930,2011-2018,4.775969251781729,0.001,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1931-1940,1951-1960,3.4263003783988575,0.002,2,"1941-1950,1951-1960",sudden_shift
7,1931-1940,1961-1970,2.977501731570046,0.016,3,"1941-1950,1951-1960,1961-1970",sudden_shift
8,1931-1940,1971-1980,3.01484546291141,0.004,4,"1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
9,1931-1940,1981-1990,3.2316041689970474,0.004,5,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
10,1931-1940,2001-2010,3.201575748458182,0.022,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
11,1931-1940,2011-2018,4.2042720989996365,0.0,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
12,1941-1950,1961-1970,2.916430922252567,0.043,2,"1951-1960,1961-1970",sudden_shift
13,1941-1950,1971-1980,2.823982157739131,0.032,3,"1951-1960,1961-1970,1971-1980",sudden_shift
14,1941-1950,2001-2010,3.2052309313126983,0.017,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
15,1941-1950,2011-2018,4.618151375237544,0.0,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
16,1951-1960,2001-2010,3.2929789427128178,0.049,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
17,1951-1960,2011-2018,3.9970280156440516,0.008,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
18,1961-1970,2001-2010,3.403291689005522,0.015,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
19,1961-1970,2011-2018,4.426342224169642,0.0,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
20,1971-1980,2001-2010,3.500477518944838,0.002,3,"1981-1990,1991-2000,2001-2010",sudden_shift
21,1971-1980,2011-2018,4.625309895810161,0.0,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
22,1981-1990,2001-2010,3.4036170520426463,0.019,2,"1991-2000,2001-2010",sudden_shift
23,1981-1990,2011-2018,4.62878120493881,0.0,3,"1991-2000,2001-2010,2011-2018",sudden_shift
24,1991-2000,2011-2018,3.8815004935308233,0.025,2,"2001-2010,2011-2018",sudden_shift
