,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1901-1910,0.0,0.903,0.505,0.732,0.219,0.415,1.0
1911-1920,0.903,0.0,0.113,0.698,0.437,0.456,0.924
1921-1930,0.505,0.113,0.0,0.094,0.449,0.47,1.0
1931-1940,0.732,0.698,0.094,0.0,0.623,0.62,1.0
1941-1950,0.219,0.437,0.449,0.623,0.0,1.0,1.0
1951-1960,0.415,0.456,0.47,0.62,1.0,0.0,1.0
1991-2000,1.0,0.924,1.0,1.0,1.0,1.0,0.0
