,1901-1910,1951-1960,1991-2000,2001-2010
1901-1910,0.0,0.317,0.271,0.724
1951-1960,0.317,0.0,0.541,0.567
1991-2000,0.271,0.541,0.0,0.072
2001-2010,0.724,0.567,0.072,0.0
