timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1931-1940,2,4.659045221038782,0.002
1911-1920,2011-2018,10,4.523963730714303,0.008
1911-1920,2001-2010,9,4.1903998692235005,0.009
1911-1920,1981-1990,7,5.0213888647135105,0.011
1931-1940,1991-2000,6,4.787295359859606,0.011
1911-1920,1921-1930,1,4.486894647718134,0.017
1911-1920,1961-1970,5,4.548333218130635,0.022
1921-1930,1991-2000,7,4.532995706943847,0.035
1931-1940,1951-1960,2,4.543165660373881,0.039
1911-1920,1991-2000,8,3.936332665920777,0.04
