event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,2001-2010,2011-2018,4.6362914211111335,0.003,1,2011-2018,consecutive
1,1911-1920,1971-1980,11.280283320738514,0.012,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
2,1931-1940,1951-1960,10.089561157509522,0.004,2,"1941-1950,1951-1960",sudden_shift
3,1931-1940,1961-1970,9.058243307979993,0.011,3,"1941-1950,1951-1960,1961-1970",sudden_shift
4,1931-1940,1971-1980,7.42129148120688,0.0,4,"1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
5,1931-1940,1991-2000,5.9563705594675,0.0,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
6,1931-1940,2001-2010,6.194866385994039,0.0,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1951-1960,1991-2000,9.521925927636836,0.007,4,"1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
8,1951-1960,2001-2010,9.736727855718042,0.004,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
9,1971-1980,1991-2000,6.480490669214872,0.0,2,"1981-1990,1991-2000",sudden_shift
10,1971-1980,2001-2010,6.605893295814433,0.0,3,"1981-1990,1991-2000,2001-2010",sudden_shift
