,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.787,0.147,0.317,0.115,0.346,0.012,0.521,0.163,0.107,0.218
1921-1930,0.787,0.0,0.835,0.678,0.196,0.601,0.283,0.857,0.712,0.832,0.787
1931-1940,0.147,0.835,0.0,0.417,0.004,0.011,0.0,0.172,0.0,0.0,0.0
1941-1950,0.317,0.678,0.417,0.0,0.279,0.359,0.147,0.664,0.419,0.294,0.423
1951-1960,0.115,0.196,0.004,0.279,0.0,0.122,0.2,0.216,0.007,0.004,0.007
1961-1970,0.346,0.601,0.011,0.359,0.122,0.0,0.088,0.906,0.86,0.418,0.72
1971-1980,0.012,0.283,0.0,0.147,0.2,0.088,0.0,0.075,0.0,0.0,0.0
1981-1990,0.521,0.857,0.172,0.664,0.216,0.906,0.075,0.0,0.864,0.832,0.345
1991-2000,0.163,0.712,0.0,0.419,0.007,0.86,0.0,0.864,0.0,0.346,0.012
2001-2010,0.107,0.832,0.0,0.294,0.004,0.418,0.0,0.832,0.346,0.0,0.003
2011-2018,0.218,0.787,0.0,0.423,0.007,0.72,0.0,0.345,0.012,0.003,0.0
