event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1951-1960,5.947980973166243,0.011,5,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
1,1901-1910,1961-1970,4.724680401532847,0.011,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
2,1901-1910,1971-1980,4.909873072546298,0.0,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1901-1910,1981-1990,4.243873231653674,0.003,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
4,1901-1910,1991-2000,4.7575578904787115,0.0,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
5,1901-1910,2001-2010,3.9532439946743905,0.012,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1901-1910,2011-2018,5.016841724201741,0.0,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1921-1930,1961-1970,5.745587832465935,0.008,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
8,1921-1930,1971-1980,5.395891232866511,0.01,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
9,1921-1930,1981-1990,5.592498908240933,0.001,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
10,1921-1930,1991-2000,5.614525052666946,0.001,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
11,1921-1930,2001-2010,5.233983922690358,0.01,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
12,1921-1930,2011-2018,5.72505927185024,0.001,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
13,1931-1940,1951-1960,6.381018060893298,0.003,2,"1941-1950,1951-1960",sudden_shift
14,1931-1940,2011-2018,5.31124658681621,0.043,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
