,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.719,1.0,0.648,1.0,1.0,0.809,1.0,0.732
1911-1920,0.719,0.0,0.7,0.362,0.718,0.707,0.163,0.838,0.108
1921-1930,1.0,0.7,0.0,0.688,1.0,1.0,1.0,1.0,0.758
1931-1940,0.648,0.362,0.688,0.0,0.337,0.667,0.942,1.0,0.209
1941-1950,1.0,0.718,1.0,0.337,0.0,1.0,0.208,1.0,0.272
1951-1960,1.0,0.707,1.0,0.667,1.0,0.0,0.333,1.0,0.394
1991-2000,0.809,0.163,1.0,0.942,0.208,0.333,0.0,1.0,0.414
2001-2010,1.0,0.838,1.0,1.0,1.0,1.0,1.0,0.0,0.719
2011-2018,0.732,0.108,0.758,0.209,0.272,0.394,0.414,0.719,0.0
